The Lion the Witch and the Wardrobe,C. S. Lewis,1950,Fantasy,7.15,1
She: A History of Adventure,H. Rider Haggard,1887,Adventure,5.15,2
The Da Vinci Code,Dan Brown,2003,Mystery thriller,4.26,3
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Fantasy,9.73,4
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Fantasy,0.63,5
Harry Potter and the Goblet of Fire,J. K. Rowling,2000,Fantasy,4.87,6
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,Fantasy,4.90,7
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,Fantasy,2.51,8
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,Fantasy,4.55,9
The Alchemist (O Alquimista),Paulo Coelho,1988,Fantasy,1.25,10
The Catcher in the Rye,J. D. Salinger,1951,Coming-of-age,4.12,11
The Bridges of Madison County,Robert James Waller,1992,Romance,9.91,12
Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Historical fiction,4.61,13
You Can Heal Your Life,Louise Hay,1984,Self-help,7.15,14
One Hundred Years of Solitude (Cien abos de soledad),Gabriel Garcia Marquez,1967,Magic realism,8.06,15
Lolita,Vladimir Nabokov,1955,Novel,9.87,16
Heidi,Johanna Spyri,1880,Children's fiction,4.61,17
The Common Sense Book of Baby and Child Care,Benjamin Spock,1946,Manual,5.83,18
Anne of Green Gables,Lucy Maud Montgomery,1908,Children's novel,5.86,19
Black Beauty,Anna Sewell,1877,Children's literature,0.37,20
The Name of the Rose (Il Nome della Rosa),Umberto Eco,1980,Historical novel,6.92,21
The Eagle Has Landed,Jack Higgins,1975,War,6.30,22
Watership Down,Richard Adams,1972,Fantasy,1.78,23
The Hite Report,Shere Hite,1976,Sexology,2.09,24
Charlotte's Web,"E. B. White illustrated by Garth Williams",1952,Children's fiction,0.62,25
The Ginger Man,J. P. Donleavy,1955,Novel,9.71,26
